X:571,O:297,T:132
X:567,O:301,T:132
X:572,O:294,T:134
X:565,O:321,T:114
X:564,O:326,T:110
X:548,O:335,T:117
X:545,O:336,T:119
X:547,O:332,T:121
X:525,O:361,T:114
X:542,O:340,T:118
X:530,O:328,T:142
X:511,O:364,T:125
X:568,O:334,T:98
X:521,O:345,T:134
X:497,O:384,T:119
X:522,O:350,T:128
X:527,O:345,T:128
X:507,O:372,T:121
X:509,O:358,T:133
X:504,O:366,T:130
X:519,O:360,T:121
X:525,O:342,T:133
X:497,O:366,T:137
X:535,O:353,T:112
X:512,O:362,T:126
X:504,O:375,T:121
X:515,O:382,T:103
X:496,O:386,T:118
X:524,O:380,T:96
X:523,O:378,T:99
X:513,O:371,T:116
X:481,O:384,T:135
X:500,O:381,T:119
X:515,O:379,T:106
X:518,O:379,T:103
X:534,O:336,T:130
X:498,O:375,T:127
X:500,O:384,T:116
X:502,O:379,T:119
X:507,O:366,T:127
X:523,O:363,T:114
X:529,O:358,T:113
X:529,O:353,T:118
X:526,O:342,T:132
X:541,O:335,T:124
X:500,O:381,T:119
X:539,O:346,T:115
X:482,O:383,T:135
X:504,O:379,T:117
X:510,O:384,T:106
X:484,O:381,T:135
X:490,O:383,T:127
X:516,O:374,T:110
X:494,O:380,T:126
X:488,O:401,T:111
X:506,O:379,T:115
X:515,O:372,T:113
X:509,O:384,T:107
X:515,O:362,T:123
X:524,O:349,T:127
X:502,O:379,T:119
X:522,O:357,T:121
X:532,O:336,T:132
X:492,O:400,T:108
X:474,O:394,T:132
X:525,O:365,T:110
X:493,O:389,T:118
X:536,O:353,T:111
X:521,O:353,T:126
X:519,O:359,T:122
X:502,O:398,T:100
X:490,O:397,T:113
X:514,O:368,T:118
X:497,O:380,T:123
X:497,O:370,T:133
X:506,O:367,T:127
X:515,O:366,T:119
X:503,O:398,T:99
X:507,O:366,T:127
X:490,O:383,T:127
X:471,O:397,T:132
X:532,O:357,T:111
X:520,O:371,T:109
X:521,O:375,T:104
X:483,O:393,T:124
X:522,O:351,T:127
X:519,O:363,T:118
X:504,O:377,T:119
X:485,O:401,T:114
X:487,O:386,T:127
X:482,O:399,T:119
X:526,O:367,T:107
X:501,O:385,T:114
X:511,O:356,T:133
X:475,O:390,T:135
X:520,O:379,T:101
X:532,O:346,T:122
X:512,O:367,T:121
X:495,O:384,T:121
X:499,O:377,T:124
X:501,O:372,T:127
X:503,O:381,T:116
X:518,O:366,T:116
X:513,O:369,T:118
X:523,O:381,T:96
X:498,O:396,T:106
X:518,O:374,T:108
X:510,O:388,T:102
X:500,O:374,T:126
X:495,O:406,T:99
X:500,O:382,T:118
X:495,O:384,T:121
X:497,O:381,T:122
X:515,O:364,T:121
X:511,O:383,T:106
X:522,O:357,T:121
X:496,O:369,T:135
X:506,O:374,T:120
X:510,O:375,T:115
X:494,O:374,T:132
X:487,O:390,T:123
X:534,O:359,T:107
X:507,O:384,T:109
X:489,O:390,T:121
X:549,O:346,T:105
X:501,O:381,T:118
X:502,O:371,T:127
X:514,O:364,T:122
X:512,O:382,T:106
X:520,O:384,T:96
X:490,O:372,T:138
X:481,O:387,T:132
X:514,O:348,T:138
X:505,O:379,T:116
X:506,O:389,T:105
X:522,O:359,T:119
X:514,O:368,T:118
X:509,O:354,T:137
X:513,O:351,T:136
X:517,O:362,T:121
X:517,O:361,T:122
X:491,O:385,T:124
X:511,O:358,T:131
X:500,O:405,T:95
X:498,O:384,T:118
X:493,O:392,T:115
X:502,O:389,T:109
X:511,O:385,T:104
X:507,O:370,T:123
X:501,O:394,T:105
X:493,O:391,T:116
X:506,O:373,T:121
X:503,O:380,T:117
X:506,O:367,T:127
X:514,O:368,T:118
X:512,O:356,T:132
X:502,O:387,T:111
X:520,O:371,T:109
X:489,O:391,T:120
X:520,O:348,T:132
X:522,O:367,T:111
X:510,O:385,T:105
X:526,O:371,T:103
X:488,O:400,T:112
X:482,O:386,T:132
X:523,O:359,T:118
X:502,O:370,T:128
X:506,O:376,T:118
X:498,O:398,T:104
X:508,O:376,T:116
X:484,O:400,T:116
X:513,O:352,T:135
X:489,O:418,T:93
X:496,O:383,T:121
X:496,O:388,T:116
X:498,O:378,T:124
X:499,O:372,T:129
X:491,O:375,T:134
X:511,O:348,T:141
X:495,O:398,T:107
X:533,O:344,T:123
X:525,O:356,T:119
X:510,O:369,T:121
X:525,O:389,T:86
X:507,O:377,T:116
X:521,O:369,T:110
X:468,O:409,T:123
X:509,O:380,T:111
X:474,O:397,T:129
X:493,O:399,T:108
X:507,O:373,T:120
X:508,O:374,T:118
X:477,O:398,T:125
X:519,O:362,T:119
X:507,O:383,T:110
X:505,O:385,T:110
X:531,O:361,T:108
X:534,O:355,T:111
X:480,O:376,T:144
X:499,O:369,T:132
X:487,O:397,T:116
X:510,O:371,T:119
X:497,O:387,T:116
X:516,O:368,T:116
X:496,O:373,T:131
X:512,O:373,T:115
X:538,O:364,T:98
X:478,O:372,T:150
X:493,O:380,T:127
X:493,O:382,T:125
X:499,O:379,T:122
X:495,O:389,T:116
X:498,O:390,T:112
X:509,O:363,T:128
X:516,O:376,T:108
X:521,O:356,T:123
X:531,O:364,T:105
X:502,O:397,T:101
X:506,O:379,T:115
X:490,O:397,T:113
X:497,O:386,T:117
X:542,O:349,T:109
X:563,O:325,T:112
X:495,O:398,T:107
X:518,O:380,T:102
X:494,O:393,T:113
X:501,O:378,T:121
X:536,O:359,T:105
X:513,O:369,T:118
X:509,O:376,T:115
X:499,O:387,T:114
X:523,O:356,T:121
X:476,O:394,T:130
X:506,O:365,T:129
X:513,O:375,T:112
X:518,O:381,T:101
X:510,O:369,T:121
X:512,O:357,T:131
X:529,O:372,T:99
X:525,O:346,T:129
X:487,O:400,T:113
X:500,O:392,T:108
X:509,O:357,T:134
X:537,O:353,T:110
X:530,O:357,T:113
X:481,O:405,T:114
X:521,O:369,T:110
X:512,O:377,T:111
X:499,O:397,T:104
X:519,O:369,T:112
X:520,O:376,T:104
X:500,O:376,T:124
X:527,O:354,T:119
X:482,O:401,T:117
X:518,O:375,T:107
X:520,O:368,T:112
X:504,O:383,T:113
X:503,O:381,T:116
X:527,O:347,T:126
X:481,O:391,T:128
X:544,O:342,T:114
X:529,O:353,T:118
X:495,O:378,T:127
X:507,O:369,T:124
X:500,O:368,T:132
X:526,O:363,T:111
X:495,O:401,T:104
X:513,O:370,T:117
X:499,O:383,T:118
X:504,O:379,T:117
X:493,O:389,T:118
X:503,O:387,T:110
X:499,O:369,T:132
X:513,O:373,T:114
X:489,O:406,T:105
X:515,O:371,T:114
X:477,O:402,T:121
X:528,O:368,T:104
X:485,O:384,T:131
X:498,O:400,T:102
X:498,O:362,T:140
X:493,O:393,T:114
X:544,O:358,T:98
X:490,O:386,T:124
X:492,O:384,T:124
X:509,O:381,T:110
X:507,O:373,T:120
X:526,O:379,T:95
X:503,O:388,T:109
X:495,O:382,T:123
X:513,O:379,T:108
X:499,O:380,T:121
X:508,O:380,T:112
X:526,O:353,T:121
X:517,O:375,T:108
X:500,O:365,T:135
X:505,O:359,T:136
X:503,O:392,T:105
X:507,O:367,T:126
X:492,O:397,T:111
X:518,O:360,T:122
X:525,O:363,T:112
X:510,O:370,T:120
X:507,O:379,T:114
X:507,O:372,T:121
X:486,O:404,T:110
X:513,O:383,T:104
X:507,O:371,T:122
X:498,O:399,T:103
X:507,O:373,T:120
X:506,O:379,T:115
X:519,O:368,T:113
X:514,O:365,T:121
X:489,O:387,T:124
X:500,O:385,T:115
X:482,O:390,T:128
X:490,O:380,T:130
X:507,O:364,T:129
X:515,O:355,T:130
X:518,O:356,T:126
X:530,O:344,T:126
X:472,O:387,T:141
X:512,O:381,T:107
X:507,O:375,T:118
X:488,O:391,T:121
X:517,O:353,T:130
X:513,O:374,T:113
X:515,O:370,T:115
X:476,O:412,T:112
X:529,O:363,T:108
X:532,O:356,T:112
X:497,O:408,T:95
X:491,O:379,T:130
X:531,O:358,T:111
X:518,O:351,T:131
X:524,O:353,T:123
X:505,O:374,T:121
X:484,O:397,T:119
X:518,O:359,T:123
X:508,O:379,T:113
X:524,O:347,T:129
X:489,O:388,T:123
X:493,O:404,T:103
X:495,O:395,T:110
X:495,O:383,T:122
X:503,O:392,T:105
X:487,O:388,T:125
X:490,O:387,T:123
